"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"96","Game","src/Game/GamePanel.java","3","28","CallSuperInConstructor: It is a good practice to call super() in a constructor","Code Style","CallSuperInConstructor"
"97","Game","src/Game/GamePanel.java","3","28","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"98","Game","src/Game/GamePanel.java","1","29","ConstructorCallsOverridableMethod: Overridable method called during object construction: JComponent.setBackground(Color) ","Error Prone","ConstructorCallsOverridableMethod"
"99","Game","src/Game/GamePanel.java","1","30","ConstructorCallsOverridableMethod: Overridable method called during object construction: Component.setFocusable(boolean) ","Error Prone","ConstructorCallsOverridableMethod"
"100","Game","src/Game/GamePanel.java","1","32","ConstructorCallsOverridableMethod: Overridable method called during object construction: Component.addKeyListener(KeyListener) ","Error Prone","ConstructorCallsOverridableMethod"
"101","Game","src/Game/GamePanel.java","3","34","MethodArgumentCouldBeFinal: Parameter 'e' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"102","Game","src/Game/GamePanel.java","3","34","ShortVariable: Avoid variables with short names like e","Code Style","ShortVariable"
"103","Game","src/Game/GamePanel.java","3","35","LocalVariableCouldBeFinal: Local variable 'k' could be declared final","Code Style","LocalVariableCouldBeFinal"
"104","Game","src/Game/GamePanel.java","3","35","ShortVariable: Avoid variables with short names like k","Code Style","ShortVariable"
"105","Game","src/Game/GamePanel.java","3","36","ControlStatementBraces: This statement should have braces","Code Style","ControlStatementBraces"
"106","Game","src/Game/GamePanel.java","3","37","ControlStatementBraces: This statement should have braces","Code Style","ControlStatementBraces"
"107","Game","src/Game/GamePanel.java","3","41","MethodArgumentCouldBeFinal: Parameter 'e' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"108","Game","src/Game/GamePanel.java","3","41","ShortVariable: Avoid variables with short names like e","Code Style","ShortVariable"
"109","Game","src/Game/GamePanel.java","3","42","LocalVariableCouldBeFinal: Local variable 'k' could be declared final","Code Style","LocalVariableCouldBeFinal"
"110","Game","src/Game/GamePanel.java","3","42","ShortVariable: Avoid variables with short names like k","Code Style","ShortVariable"
"111","Game","src/Game/GamePanel.java","3","43","ControlStatementBraces: This statement should have braces","Code Style","ControlStatementBraces"
"112","Game","src/Game/GamePanel.java","3","44","ControlStatementBraces: This statement should have braces","Code Style","ControlStatementBraces"
"113","Game","src/Game/GamePanel.java","3","54","ControlStatementBraces: This statement should have braces","Code Style","ControlStatementBraces"
"114","Game","src/Game/GamePanel.java","3","55","LocalVariableCouldBeFinal: Local variable 'w' could be declared final","Code Style","LocalVariableCouldBeFinal"
"115","Game","src/Game/GamePanel.java","3","55","ShortVariable: Avoid variables with short names like w","Code Style","ShortVariable"
"116","Game","src/Game/GamePanel.java","3","56","LocalVariableCouldBeFinal: Local variable 'h' could be declared final","Code Style","LocalVariableCouldBeFinal"
"117","Game","src/Game/GamePanel.java","3","56","ShortVariable: Avoid variables with short names like h","Code Style","ShortVariable"
"118","Game","src/Game/GamePanel.java","3","59","LocalVariableCouldBeFinal: Local variable 'paddleWidth' could be declared final","Code Style","LocalVariableCouldBeFinal"
"119","Game","src/Game/GamePanel.java","3","60","LocalVariableCouldBeFinal: Local variable 'paddleHeight' could be declared final","Code Style","LocalVariableCouldBeFinal"
"120","Game","src/Game/GamePanel.java","3","63","LocalVariableCouldBeFinal: Local variable 'ballDiameter' could be declared final","Code Style","LocalVariableCouldBeFinal"
"121","Game","src/Game/GamePanel.java","3","68","LocalVariableCouldBeFinal: Local variable 'marginTop' could be declared final","Code Style","LocalVariableCouldBeFinal"
"122","Game","src/Game/GamePanel.java","3","69","LocalVariableCouldBeFinal: Local variable 'marginSides' could be declared final","Code Style","LocalVariableCouldBeFinal"
"123","Game","src/Game/GamePanel.java","3","70","LocalVariableCouldBeFinal: Local variable 'gap' could be declared final","Code Style","LocalVariableCouldBeFinal"
"124","Game","src/Game/GamePanel.java","3","72","LocalVariableCouldBeFinal: Local variable 'totalGapX' could be declared final","Code Style","LocalVariableCouldBeFinal"
"125","Game","src/Game/GamePanel.java","3","73","LocalVariableCouldBeFinal: Local variable 'availableWidth' could be declared final","Code Style","LocalVariableCouldBeFinal"
"126","Game","src/Game/GamePanel.java","3","74","LocalVariableCouldBeFinal: Local variable 'brickWidth' could be declared final","Code Style","LocalVariableCouldBeFinal"
"127","Game","src/Game/GamePanel.java","3","75","LocalVariableCouldBeFinal: Local variable 'brickHeight' could be declared final","Code Style","LocalVariableCouldBeFinal"
"128","Game","src/Game/GamePanel.java","3","78","LocalVariableCouldBeFinal: Local variable 'usedWidth' could be declared final","Code Style","LocalVariableCouldBeFinal"
"129","Game","src/Game/GamePanel.java","3","79","LocalVariableCouldBeFinal: Local variable 'extra' could be declared final","Code Style","LocalVariableCouldBeFinal"
"130","Game","src/Game/GamePanel.java","3","80","LocalVariableCouldBeFinal: Local variable 'leftStart' could be declared final","Code Style","LocalVariableCouldBeFinal"
"131","Game","src/Game/GamePanel.java","4","80","UselessParentheses: Useless parentheses around `extra / 2`.","Code Style","UselessParentheses"
"132","Game","src/Game/GamePanel.java","3","84","LocalVariableCouldBeFinal: Local variable 'x' could be declared final","Code Style","LocalVariableCouldBeFinal"
"133","Game","src/Game/GamePanel.java","3","84","ShortVariable: Avoid variables with short names like x","Code Style","ShortVariable"
"134","Game","src/Game/GamePanel.java","3","85","LocalVariableCouldBeFinal: Local variable 'y' could be declared final","Code Style","LocalVariableCouldBeFinal"
"135","Game","src/Game/GamePanel.java","3","85","ShortVariable: Avoid variables with short names like y","Code Style","ShortVariable"
"136","Game","src/Game/GamePanel.java","3","94","MethodArgumentCouldBeFinal: Parameter 'g' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"137","Game","src/Game/GamePanel.java","3","94","ShortVariable: Avoid variables with short names like g","Code Style","ShortVariable"
"138","Game","src/Game/GamePanel.java","3","102","LocalVariableCouldBeFinal: Local variable 'b' could be declared final","Code Style","LocalVariableCouldBeFinal"
"139","Game","src/Game/GamePanel.java","3","103","ControlStatementBraces: This statement should have braces","Code Style","ControlStatementBraces"
"140","Game","src/Game/GamePanel.java","3","113","LocalVariableCouldBeFinal: Local variable 'msg' could be declared final","Code Style","LocalVariableCouldBeFinal"
"141","Game","src/Game/GamePanel.java","3","114","LawOfDemeter: Call to `getFontMetrics` on foreign value `g` (degree 1)","Design","LawOfDemeter"
"142","Game","src/Game/GamePanel.java","3","114","LocalVariableCouldBeFinal: Local variable 'strW' could be declared final","Code Style","LocalVariableCouldBeFinal"
"143","Game","src/Game/GamePanel.java","3","120","CognitiveComplexity: The method 'actionPerformed(ActionEvent)' has a cognitive complexity of 23, current threshold is 15","Design","CognitiveComplexity"
"144","Game","src/Game/GamePanel.java","3","120","CyclomaticComplexity: The method 'actionPerformed(ActionEvent)' has a cyclomatic complexity of 19.","Design","CyclomaticComplexity"
"145","Game","src/Game/GamePanel.java","3","120","NPathComplexity: The method 'actionPerformed(ActionEvent)' has an NPath complexity of 9220, current threshold is 200","Design","NPathComplexity"
"146","Game","src/Game/GamePanel.java","3","120","ShortVariable: Avoid variables with short names like e","Code Style","ShortVariable"
"147","Game","src/Game/GamePanel.java","3","134","ControlStatementBraces: This statement should have braces","Code Style","ControlStatementBraces"
"148","Game","src/Game/GamePanel.java","3","135","ControlStatementBraces: This statement should have braces","Code Style","ControlStatementBraces"
"149","Game","src/Game/GamePanel.java","3","155","LawOfDemeter: Call to `getRect` on foreign value `ball` (degree 1)","Design","LawOfDemeter"
"150","Game","src/Game/GamePanel.java","3","160","LocalVariableCouldBeFinal: Local variable 'paddleCenter' could be declared final","Code Style","LocalVariableCouldBeFinal"
"151","Game","src/Game/GamePanel.java","3","161","LocalVariableCouldBeFinal: Local variable 'ballCenter' could be declared final","Code Style","LocalVariableCouldBeFinal"
"152","Game","src/Game/GamePanel.java","3","162","LocalVariableCouldBeFinal: Local variable 'relative' could be declared final","Code Style","LocalVariableCouldBeFinal"
"153","Game","src/Game/GamePanel.java","3","163","LocalVariableCouldBeFinal: Local variable 'maxSpeedX' could be declared final","Code Style","LocalVariableCouldBeFinal"
"154","Game","src/Game/GamePanel.java","3","173","LocalVariableCouldBeFinal: Local variable 'b' could be declared final","Code Style","LocalVariableCouldBeFinal"
"155","Game","src/Game/GamePanel.java","3","174","LawOfDemeter: Call to `getRect` on foreign value `ball` (degree 1)","Design","LawOfDemeter"
"156","Game","src/Game/GamePanel.java","3","184","LocalVariableCouldBeFinal: Local variable 'b' could be declared final","Code Style","LocalVariableCouldBeFinal"
"157","Game","src/Game/Paddle.java","3","1","PackageCase: Package name contains upper case characters","Code Style","PackageCase"
"158","Game","src/Game/Paddle.java","3","7","CommentRequired: Class comments are required","Documentation","CommentRequired"
"159","Game","src/Game/Paddle.java","3","8","CommentRequired: Field comments are required","Documentation","CommentRequired"
"160","Game","src/Game/Paddle.java","3","8","ImmutableField: Field 'height' may be declared final","Design","ImmutableField"
"161","Game","src/Game/Paddle.java","3","8","ImmutableField: Field 'width' may be declared final","Design","ImmutableField"
"162","Game","src/Game/Paddle.java","3","8","ImmutableField: Field 'y' may be declared final","Design","ImmutableField"
"163","Game","src/Game/Paddle.java","1","8","OneDeclarationPerLine: Use one line for each declaration, it enhances code readability.","Code Style","OneDeclarationPerLine"
"164","Game","src/Game/Paddle.java","3","8","ShortVariable: Avoid variables with short names like x","Code Style","ShortVariable"
"165","Game","src/Game/Paddle.java","3","8","ShortVariable: Avoid variables with short names like y","Code Style","ShortVariable"
"166","Game","src/Game/Paddle.java","3","9","CommentRequired: Field comments are required","Documentation","CommentRequired"
"167","Game","src/Game/Paddle.java","3","9","ImmutableField: Field 'panelWidth' may be declared final","Design","ImmutableField"
"168","Game","src/Game/Paddle.java","3","10","CommentRequired: Field comments are required","Documentation","CommentRequired"
"169","Game","src/Game/Paddle.java","3","10","ImmutableField: Field 'speed' may be declared final","Design","ImmutableField"
"170","Game","src/Game/Paddle.java","3","12","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"171","Game","src/Game/Paddle.java","3","12","MethodArgumentCouldBeFinal: Parameter 'height' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"172","Game","src/Game/Paddle.java","3","12","MethodArgumentCouldBeFinal: Parameter 'panelWidth' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"173","Game","src/Game/Paddle.java","3","12","MethodArgumentCouldBeFinal: Parameter 'width' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"174","Game","src/Game/Paddle.java","3","12","MethodArgumentCouldBeFinal: Parameter 'x' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"175","Game","src/Game/Paddle.java","3","12","MethodArgumentCouldBeFinal: Parameter 'y' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"176","Game","src/Game/Paddle.java","3","12","ShortVariable: Avoid variables with short names like x","Code Style","ShortVariable"
"177","Game","src/Game/Paddle.java","3","12","ShortVariable: Avoid variables with short names like y","Code Style","ShortVariable"
"178","Game","src/Game/Paddle.java","3","20","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"179","Game","src/Game/Paddle.java","3","22","ControlStatementBraces: This statement should have braces","Code Style","ControlStatementBraces"
"180","Game","src/Game/Paddle.java","3","25","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"181","Game","src/Game/Paddle.java","3","27","ControlStatementBraces: This statement should have braces","Code Style","ControlStatementBraces"
"182","Game","src/Game/Paddle.java","3","30","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"183","Game","src/Game/Paddle.java","3","31","ControlStatementBraces: This statement should have braces","Code Style","ControlStatementBraces"
"184","Game","src/Game/Paddle.java","3","32","ControlStatementBraces: This statement should have braces","Code Style","ControlStatementBraces"
"185","Game","src/Game/Paddle.java","3","35","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"186","Game","src/Game/Paddle.java","3","35","MethodArgumentCouldBeFinal: Parameter 'g' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"187","Game","src/Game/Paddle.java","3","35","ShortVariable: Avoid variables with short names like g","Code Style","ShortVariable"
"188","Game","src/Game/Paddle.java","3","40","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"189","test","src/test/BallTest.java","3","12","AtLeastOneConstructor: Each class should declare at least one constructor","Code Style","AtLeastOneConstructor"
"190","test","src/test/BallTest.java","3","12","CommentRequired: Class comments are required","Documentation","CommentRequired"
"191","test","src/test/BallTest.java","3","12","JUnit5TestShouldBePackagePrivate: JUnit 5 tests should be package-private.","Best Practices","JUnit5TestShouldBePackagePrivate"
"192","test","src/test/BallTest.java","3","16","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"193","test","src/test/BallTest.java","3","16","JUnit5TestShouldBePackagePrivate: JUnit 5 tests should be package-private.","Best Practices","JUnit5TestShouldBePackagePrivate"
"194","test","src/test/BallTest.java","3","16","UnitTestContainsTooManyAsserts: Unit tests should not contain more than 1 assert(s).","Best Practices","UnitTestContainsTooManyAsserts"
"195","test","src/test/BallTest.java","3","17","LocalVariableCouldBeFinal: Local variable 'b' could be declared final","Code Style","LocalVariableCouldBeFinal"
"196","test","src/test/BallTest.java","3","17","ShortVariable: Avoid variables with short names like b","Code Style","ShortVariable"
"197","test","src/test/BallTest.java","3","26","UnitTestAssertionsShouldIncludeMessage: Unit test assertions should include a message","Best Practices","UnitTestAssertionsShouldIncludeMessage"
"198","test","src/test/BallTest.java","3","27","UnitTestAssertionsShouldIncludeMessage: Unit test assertions should include a message","Best Practices","UnitTestAssertionsShouldIncludeMessage"
"199","test","src/test/BallTest.java","3","28","UnitTestAssertionsShouldIncludeMessage: Unit test assertions should include a message","Best Practices","UnitTestAssertionsShouldIncludeMessage"
"200","test","src/test/BallTest.java","3","29","UnitTestAssertionsShouldIncludeMessage: Unit test assertions should include a message","Best Practices","UnitTestAssertionsShouldIncludeMessage"
"201","test","src/test/BallTest.java","3","34","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"202","test","src/test/BallTest.java","3","34","JUnit5TestShouldBePackagePrivate: JUnit 5 tests should be package-private.","Best Practices","JUnit5TestShouldBePackagePrivate"
"203","test","src/test/BallTest.java","3","34","UnitTestContainsTooManyAsserts: Unit tests should not contain more than 1 assert(s).","Best Practices","UnitTestContainsTooManyAsserts"
"204","test","src/test/BallTest.java","3","35","LocalVariableCouldBeFinal: Local variable 'b' could be declared final","Code Style","LocalVariableCouldBeFinal"
"205","test","src/test/BallTest.java","3","35","ShortVariable: Avoid variables with short names like b","Code Style","ShortVariable"
"206","test","src/test/BallTest.java","3","36","LawOfDemeter: Call to `getRect` on foreign value `b` (degree 1)","Design","LawOfDemeter"
"207","test","src/test/BallTest.java","3","36","LocalVariableCouldBeFinal: Local variable 'r' could be declared final","Code Style","LocalVariableCouldBeFinal"
"208","test","src/test/BallTest.java","3","36","ShortVariable: Avoid variables with short names like r","Code Style","ShortVariable"
"209","test","src/test/BallTest.java","3","37","UnitTestAssertionsShouldIncludeMessage: Unit test assertions should include a message","Best Practices","UnitTestAssertionsShouldIncludeMessage"
"210","test","src/test/BallTest.java","3","38","UnitTestAssertionsShouldIncludeMessage: Unit test assertions should include a message","Best Practices","UnitTestAssertionsShouldIncludeMessage"
"211","test","src/test/BallTest.java","3","39","UnitTestAssertionsShouldIncludeMessage: Unit test assertions should include a message","Best Practices","UnitTestAssertionsShouldIncludeMessage"
"212","test","src/test/BallTest.java","3","40","UnitTestAssertionsShouldIncludeMessage: Unit test assertions should include a message","Best Practices","UnitTestAssertionsShouldIncludeMessage"
"213","test","src/test/BallTest.java","3","42","LocalVariableCouldBeFinal: Local variable 'img' could be declared final","Code Style","LocalVariableCouldBeFinal"
"214","test","src/test/BallTest.java","3","43","LocalVariableCouldBeFinal: Local variable 'g' could be declared final","Code Style","LocalVariableCouldBeFinal"
"215","test","src/test/BallTest.java","3","43","ShortVariable: Avoid variables with short names like g","Code Style","ShortVariable"
