"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"50","Game","src/Game/Brick.java","3","11","MethodArgumentCouldBeFinal: Parameter 'height' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"51","Game","src/Game/Brick.java","3","11","MethodArgumentCouldBeFinal: Parameter 'width' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"52","Game","src/Game/Brick.java","3","11","MethodArgumentCouldBeFinal: Parameter 'x' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"53","Game","src/Game/Brick.java","3","11","MethodArgumentCouldBeFinal: Parameter 'y' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"54","Game","src/Game/Brick.java","3","11","ShortVariable: Avoid variables with short names like x","Code Style","ShortVariable"
"55","Game","src/Game/Brick.java","3","11","ShortVariable: Avoid variables with short names like y","Code Style","ShortVariable"
"56","Game","src/Game/Brick.java","3","18","LocalVariableCouldBeFinal: Local variable 'colorChoice' could be declared final","Code Style","LocalVariableCouldBeFinal"
"57","Game","src/Game/Brick.java","3","28","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"58","Game","src/Game/Brick.java","3","36","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"59","Game","src/Game/Brick.java","3","36","MethodArgumentCouldBeFinal: Parameter 'g' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"60","Game","src/Game/Brick.java","3","36","ShortVariable: Avoid variables with short names like g","Code Style","ShortVariable"
"61","Game","src/Game/GamePanel.java","3","1","PackageCase: Package name contains upper case characters","Code Style","PackageCase"
"62","Game","src/Game/GamePanel.java","3","12","CommentRequired: Class comments are required","Documentation","CommentRequired"
"63","Game","src/Game/GamePanel.java","3","12","MissingSerialVersionUID: Classes implementing Serializable should set a serialVersionUID","Error Prone","MissingSerialVersionUID"
"64","Game","src/Game/GamePanel.java","3","13","CommentRequired: Field comments are required","Documentation","CommentRequired"
"65","Game","src/Game/GamePanel.java","3","13","ImmutableField: Field 'timer' may be declared final","Design","ImmutableField"
"66","Game","src/Game/GamePanel.java","3","14","CommentRequired: Field comments are required","Documentation","CommentRequired"
"67","Game","src/Game/GamePanel.java","3","14","ImmutableField: Field 'ball' may be declared final","Design","ImmutableField"
"68","Game","src/Game/GamePanel.java","3","14","NonSerializableClass: The field 'ball' of serializable class 'Game.GamePanel' is of non-serializable type 'Game.Ball'.","Error Prone","NonSerializableClass"
"69","Game","src/Game/GamePanel.java","3","15","CommentRequired: Field comments are required","Documentation","CommentRequired"
"70","Game","src/Game/GamePanel.java","3","15","ImmutableField: Field 'paddle' may be declared final","Design","ImmutableField"
"71","Game","src/Game/GamePanel.java","3","15","NonSerializableClass: The field 'paddle' of serializable class 'Game.GamePanel' is of non-serializable type 'Game.Paddle'.","Error Prone","NonSerializableClass"
"72","Game","src/Game/GamePanel.java","3","16","CommentRequired: Field comments are required","Documentation","CommentRequired"
"73","Game","src/Game/GamePanel.java","3","16","ImmutableField: Field 'bricks' may be declared final","Design","ImmutableField"
"74","Game","src/Game/GamePanel.java","3","17","CommentRequired: Field comments are required","Documentation","CommentRequired"
"75","Game","src/Game/GamePanel.java","3","17","RedundantFieldInitializer: Avoid using redundant field initializer for 'gameOver'","Performance","RedundantFieldInitializer"
"76","Game","src/Game/GamePanel.java","3","18","CommentRequired: Field comments are required","Documentation","CommentRequired"
"77","Game","src/Game/GamePanel.java","3","18","RedundantFieldInitializer: Avoid using redundant field initializer for 'victory'","Performance","RedundantFieldInitializer"
"78","Game","src/Game/GamePanel.java","3","19","CommentRequired: Field comments are required","Documentation","CommentRequired"
"79","Game","src/Game/GamePanel.java","3","21","CommentRequired: Field comments are required","Documentation","CommentRequired"
"80","Game","src/Game/GamePanel.java","3","22","CommentRequired: Field comments are required","Documentation","CommentRequired"
"81","Game","src/Game/GamePanel.java","3","23","CommentRequired: Field comments are required","Documentation","CommentRequired"
"82","Game","src/Game/GamePanel.java","3","24","CommentRequired: Field comments are required","Documentation","CommentRequired"
"83","Game","src/Game/GamePanel.java","3","24","UnusedPrivateField: Avoid unused private fields such as 'PANEL_HEIGHT'.","Best Practices","UnusedPrivateField"
"84","Game","src/Game/GamePanel.java","3","26","CallSuperInConstructor: It is a good practice to call super() in a constructor","Code Style","CallSuperInConstructor"
"85","Game","src/Game/GamePanel.java","3","26","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"86","Game","src/Game/GamePanel.java","1","27","ConstructorCallsOverridableMethod: Overridable method called during object construction: JComponent.setBackground(Color) ","Error Prone","ConstructorCallsOverridableMethod"
"87","Game","src/Game/GamePanel.java","1","29","ConstructorCallsOverridableMethod: Overridable method called during object construction: Component.addKeyListener(KeyListener) ","Error Prone","ConstructorCallsOverridableMethod"
"88","Game","src/Game/GamePanel.java","3","38","LocalVariableCouldBeFinal: Local variable 'margin' could be declared final","Code Style","LocalVariableCouldBeFinal"
"89","Game","src/Game/GamePanel.java","3","39","LocalVariableCouldBeFinal: Local variable 'brickGap' could be declared final","Code Style","LocalVariableCouldBeFinal"
"90","Game","src/Game/GamePanel.java","3","40","LocalVariableCouldBeFinal: Local variable 'startY' could be declared final","Code Style","LocalVariableCouldBeFinal"
"91","Game","src/Game/GamePanel.java","3","43","LocalVariableCouldBeFinal: Local variable 'totalWidth' could be declared final","Code Style","LocalVariableCouldBeFinal"
"92","Game","src/Game/GamePanel.java","3","44","LocalVariableCouldBeFinal: Local variable 'totalGaps' could be declared final","Code Style","LocalVariableCouldBeFinal"
"93","Game","src/Game/GamePanel.java","3","45","LocalVariableCouldBeFinal: Local variable 'brickWidth' could be declared final","Code Style","LocalVariableCouldBeFinal"
"94","Game","src/Game/GamePanel.java","3","46","LocalVariableCouldBeFinal: Local variable 'brickHeight' could be declared final","Code Style","LocalVariableCouldBeFinal"
"95","Game","src/Game/GamePanel.java","3","50","LocalVariableCouldBeFinal: Local variable 'x' could be declared final","Code Style","LocalVariableCouldBeFinal"
"96","Game","src/Game/GamePanel.java","3","50","ShortVariable: Avoid variables with short names like x","Code Style","ShortVariable"
"97","Game","src/Game/GamePanel.java","3","51","LocalVariableCouldBeFinal: Local variable 'y' could be declared final","Code Style","LocalVariableCouldBeFinal"
"98","Game","src/Game/GamePanel.java","3","51","ShortVariable: Avoid variables with short names like y","Code Style","ShortVariable"
"99","Game","src/Game/GamePanel.java","3","62","MethodArgumentCouldBeFinal: Parameter 'g' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"100","Game","src/Game/GamePanel.java","3","62","ShortVariable: Avoid variables with short names like g","Code Style","ShortVariable"
"101","Game","src/Game/GamePanel.java","3","93","CognitiveComplexity: The method 'actionPerformed(ActionEvent)' has a cognitive complexity of 26, current threshold is 15","Design","CognitiveComplexity"
"102","Game","src/Game/GamePanel.java","3","93","CyclomaticComplexity: The method 'actionPerformed(ActionEvent)' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"103","Game","src/Game/GamePanel.java","3","93","ShortVariable: Avoid variables with short names like e","Code Style","ShortVariable"
"104","Game","src/Game/GamePanel.java","3","122","LocalVariableCouldBeFinal: Local variable 'brick' could be declared final","Code Style","LocalVariableCouldBeFinal"
"105","Game","src/Game/GamePanel.java","3","131","AvoidDeeplyNestedIfStmts: Deeply nested if..then statements are hard to read","Design","AvoidDeeplyNestedIfStmts"
"106","Game","src/Game/GamePanel.java","3","144","MethodArgumentCouldBeFinal: Parameter 'e' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"107","Game","src/Game/GamePanel.java","3","144","ShortVariable: Avoid variables with short names like e","Code Style","ShortVariable"
"108","Game","src/Game/GamePanel.java","3","146","LocalVariableCouldBeFinal: Local variable 'key' could be declared final","Code Style","LocalVariableCouldBeFinal"
"109","Game","src/Game/GamePanel.java","3","159","ShortVariable: Avoid variables with short names like e","Code Style","ShortVariable"
"110","Game","src/Game/GamePanel.java","3","159","UncommentedEmptyMethodBody: Document empty method body","Documentation","UncommentedEmptyMethodBody"
"111","Game","src/Game/GamePanel.java","3","162","ShortVariable: Avoid variables with short names like e","Code Style","ShortVariable"
"112","Game","src/Game/GamePanel.java","3","162","UncommentedEmptyMethodBody: Document empty method body","Documentation","UncommentedEmptyMethodBody"
"113","Game","src/Game/Paddle.java","3","1","PackageCase: Package name contains upper case characters","Code Style","PackageCase"
"114","Game","src/Game/Paddle.java","3","6","CommentRequired: Class comments are required","Documentation","CommentRequired"
"115","Game","src/Game/Paddle.java","3","7","CommentRequired: Field comments are required","Documentation","CommentRequired"
"116","Game","src/Game/Paddle.java","3","7","ImmutableField: Field 'y' may be declared final","Design","ImmutableField"
"117","Game","src/Game/Paddle.java","1","7","OneDeclarationPerLine: Use one line for each declaration, it enhances code readability.","Code Style","OneDeclarationPerLine"
"118","Game","src/Game/Paddle.java","3","7","ShortVariable: Avoid variables with short names like x","Code Style","ShortVariable"
"119","Game","src/Game/Paddle.java","3","7","ShortVariable: Avoid variables with short names like y","Code Style","ShortVariable"
"120","Game","src/Game/Paddle.java","3","8","CommentRequired: Field comments are required","Documentation","CommentRequired"
"121","Game","src/Game/Paddle.java","3","9","CommentRequired: Field comments are required","Documentation","CommentRequired"
"122","Game","src/Game/Paddle.java","3","10","CommentRequired: Field comments are required","Documentation","CommentRequired"
"123","Game","src/Game/Paddle.java","3","12","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"124","Game","src/Game/Paddle.java","3","12","MethodArgumentCouldBeFinal: Parameter 'x' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"125","Game","src/Game/Paddle.java","3","12","MethodArgumentCouldBeFinal: Parameter 'y' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"126","Game","src/Game/Paddle.java","3","12","ShortVariable: Avoid variables with short names like x","Code Style","ShortVariable"
"127","Game","src/Game/Paddle.java","3","12","ShortVariable: Avoid variables with short names like y","Code Style","ShortVariable"
"128","Game","src/Game/Paddle.java","3","17","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"129","Game","src/Game/Paddle.java","3","24","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"130","Game","src/Game/Paddle.java","3","24","MethodArgumentCouldBeFinal: Parameter 'screenWidth' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"131","Game","src/Game/Paddle.java","3","31","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"132","Game","src/Game/Paddle.java","3","31","MethodArgumentCouldBeFinal: Parameter 'g' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"133","Game","src/Game/Paddle.java","3","31","ShortVariable: Avoid variables with short names like g","Code Style","ShortVariable"
"134","Test","src/Test/BallTest.java","3","1","PackageCase: Package name contains upper case characters","Code Style","PackageCase"
"135","Test","src/Test/BallTest.java","3","13","AtLeastOneConstructor: Each class should declare at least one constructor","Code Style","AtLeastOneConstructor"
"136","Test","src/Test/BallTest.java","3","13","JUnit5TestShouldBePackagePrivate: JUnit 5 tests should be package-private.","Best Practices","JUnit5TestShouldBePackagePrivate"
"137","Test","src/Test/BallTest.java","3","13","TooManyMethods: This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"138","Test","src/Test/BallTest.java","3","14","CommentRequired: Field comments are required","Documentation","CommentRequired"
"139","Test","src/Test/BallTest.java","3","17","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"140","Test","src/Test/BallTest.java","3","22","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"141","Test","src/Test/BallTest.java","3","22","JUnit5TestShouldBePackagePrivate: JUnit 5 tests should be package-private.","Best Practices","JUnit5TestShouldBePackagePrivate"
"142","Test","src/Test/BallTest.java","3","22","UnitTestContainsTooManyAsserts: Unit tests should not contain more than 1 assert(s).","Best Practices","UnitTestContainsTooManyAsserts"
"143","Test","src/Test/BallTest.java","3","24","UnitTestAssertionsShouldIncludeMessage: Unit test assertions should include a message","Best Practices","UnitTestAssertionsShouldIncludeMessage"
"144","Test","src/Test/BallTest.java","3","25","UnitTestAssertionsShouldIncludeMessage: Unit test assertions should include a message","Best Practices","UnitTestAssertionsShouldIncludeMessage"
"145","Test","src/Test/BallTest.java","3","29","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"146","Test","src/Test/BallTest.java","3","29","JUnit5TestShouldBePackagePrivate: JUnit 5 tests should be package-private.","Best Practices","JUnit5TestShouldBePackagePrivate"
"147","Test","src/Test/BallTest.java","3","31","UnitTestAssertionsShouldIncludeMessage: Unit test assertions should include a message","Best Practices","UnitTestAssertionsShouldIncludeMessage"
"148","Test","src/Test/BallTest.java","3","35","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"149","Test","src/Test/BallTest.java","3","35","JUnit5TestShouldBePackagePrivate: JUnit 5 tests should be package-private.","Best Practices","JUnit5TestShouldBePackagePrivate"
"150","Test","src/Test/BallTest.java","3","35","UnitTestContainsTooManyAsserts: Unit tests should not contain more than 1 assert(s).","Best Practices","UnitTestContainsTooManyAsserts"
"151","Test","src/Test/BallTest.java","3","37","LocalVariableCouldBeFinal: Local variable 'initialX' could be declared final","Code Style","LocalVariableCouldBeFinal"
"152","Test","src/Test/BallTest.java","3","38","LocalVariableCouldBeFinal: Local variable 'initialY' could be declared final","Code Style","LocalVariableCouldBeFinal"
"153","Test","src/Test/BallTest.java","3","45","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"154","Test","src/Test/BallTest.java","3","45","JUnit5TestShouldBePackagePrivate: JUnit 5 tests should be package-private.","Best Practices","JUnit5TestShouldBePackagePrivate"
"155","Test","src/Test/BallTest.java","3","47","LocalVariableCouldBeFinal: Local variable 'x1' could be declared final","Code Style","LocalVariableCouldBeFinal"
"156","Test","src/Test/BallTest.java","3","47","ShortVariable: Avoid variables with short names like x1","Code Style","ShortVariable"
"157","Test","src/Test/BallTest.java","3","49","LocalVariableCouldBeFinal: Local variable 'x2' could be declared final","Code Style","LocalVariableCouldBeFinal"
"158","Test","src/Test/BallTest.java","3","49","ShortVariable: Avoid variables with short names like x2","Code Style","ShortVariable"
"159","Test","src/Test/BallTest.java","3","50","LocalVariableCouldBeFinal: Local variable 'deltaX1' could be declared final","Code Style","LocalVariableCouldBeFinal"
"160","Test","src/Test/BallTest.java","3","54","LocalVariableCouldBeFinal: Local variable 'x3' could be declared final","Code Style","LocalVariableCouldBeFinal"
"161","Test","src/Test/BallTest.java","3","54","ShortVariable: Avoid variables with short names like x3","Code Style","ShortVariable"
"162","Test","src/Test/BallTest.java","3","55","LocalVariableCouldBeFinal: Local variable 'deltaX2' could be declared final","Code Style","LocalVariableCouldBeFinal"
"163","Test","src/Test/BallTest.java","3","57","UnitTestAssertionsShouldIncludeMessage: Unit test assertions should include a message","Best Practices","UnitTestAssertionsShouldIncludeMessage"
"164","Test","src/Test/BallTest.java","3","61","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"165","Test","src/Test/BallTest.java","3","61","JUnit5TestShouldBePackagePrivate: JUnit 5 tests should be package-private.","Best Practices","JUnit5TestShouldBePackagePrivate"
"166","Test","src/Test/BallTest.java","3","63","LocalVariableCouldBeFinal: Local variable 'y1' could be declared final","Code Style","LocalVariableCouldBeFinal"
"167","Test","src/Test/BallTest.java","3","63","ShortVariable: Avoid variables with short names like y1","Code Style","ShortVariable"
"168","Test","src/Test/BallTest.java","3","65","LocalVariableCouldBeFinal: Local variable 'y2' could be declared final","Code Style","LocalVariableCouldBeFinal"
"169","Test","src/Test/BallTest.java","3","65","ShortVariable: Avoid variables with short names like y2","Code Style","ShortVariable"
"170","Test","src/Test/BallTest.java","3","66","LocalVariableCouldBeFinal: Local variable 'deltaY1' could be declared final","Code Style","LocalVariableCouldBeFinal"
"171","Test","src/Test/BallTest.java","3","70","LocalVariableCouldBeFinal: Local variable 'y3' could be declared final","Code Style","LocalVariableCouldBeFinal"
"172","Test","src/Test/BallTest.java","3","70","ShortVariable: Avoid variables with short names like y3","Code Style","ShortVariable"
"173","Test","src/Test/BallTest.java","3","71","LocalVariableCouldBeFinal: Local variable 'deltaY2' could be declared final","Code Style","LocalVariableCouldBeFinal"
"174","Test","src/Test/BallTest.java","3","73","UnitTestAssertionsShouldIncludeMessage: Unit test assertions should include a message","Best Practices","UnitTestAssertionsShouldIncludeMessage"
"175","Test","src/Test/BallTest.java","3","77","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"176","Test","src/Test/BallTest.java","3","77","JUnit5TestShouldBePackagePrivate: JUnit 5 tests should be package-private.","Best Practices","JUnit5TestShouldBePackagePrivate"
"177","Test","src/Test/BallTest.java","1","77","MethodNamingConventions: The JUnit 5 test method name 'testIntersects_True' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","MethodNamingConventions"
"178","Test","src/Test/BallTest.java","3","80","UnitTestAssertionsShouldIncludeMessage: Unit test assertions should include a message","Best Practices","UnitTestAssertionsShouldIncludeMessage"
"179","Test","src/Test/BallTest.java","3","84","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"180","Test","src/Test/BallTest.java","3","84","JUnit5TestShouldBePackagePrivate: JUnit 5 tests should be package-private.","Best Practices","JUnit5TestShouldBePackagePrivate"
"181","Test","src/Test/BallTest.java","1","84","MethodNamingConventions: The JUnit 5 test method name 'testIntersects_False_Left' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","MethodNamingConventions"
"182","Test","src/Test/BallTest.java","3","87","UnitTestAssertionsShouldIncludeMessage: Unit test assertions should include a message","Best Practices","UnitTestAssertionsShouldIncludeMessage"
"183","Test","src/Test/BallTest.java","3","91","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"184","Test","src/Test/BallTest.java","3","91","JUnit5TestShouldBePackagePrivate: JUnit 5 tests should be package-private.","Best Practices","JUnit5TestShouldBePackagePrivate"
"185","Test","src/Test/BallTest.java","1","91","MethodNamingConventions: The JUnit 5 test method name 'testIntersects_False_Right' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","MethodNamingConventions"
"186","Test","src/Test/BallTest.java","3","94","UnitTestAssertionsShouldIncludeMessage: Unit test assertions should include a message","Best Practices","UnitTestAssertionsShouldIncludeMessage"
"187","Test","src/Test/BallTest.java","3","98","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"188","Test","src/Test/BallTest.java","3","98","JUnit5TestShouldBePackagePrivate: JUnit 5 tests should be package-private.","Best Practices","JUnit5TestShouldBePackagePrivate"
"189","Test","src/Test/BallTest.java","1","98","MethodNamingConventions: The JUnit 5 test method name 'testIntersects_False_Above' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","MethodNamingConventions"
"190","Test","src/Test/BallTest.java","3","101","UnitTestAssertionsShouldIncludeMessage: Unit test assertions should include a message","Best Practices","UnitTestAssertionsShouldIncludeMessage"
"191","Test","src/Test/BallTest.java","3","105","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"192","Test","src/Test/BallTest.java","3","105","JUnit5TestShouldBePackagePrivate: JUnit 5 tests should be package-private.","Best Practices","JUnit5TestShouldBePackagePrivate"
"193","Test","src/Test/BallTest.java","1","105","MethodNamingConventions: The JUnit 5 test method name 'testIntersects_False_Below' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","MethodNamingConventions"
"194","Test","src/Test/BallTest.java","3","108","UnitTestAssertionsShouldIncludeMessage: Unit test assertions should include a message","Best Practices","UnitTestAssertionsShouldIncludeMessage"
"195","Test","src/Test/BallTest.java","3","112","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"196","Test","src/Test/BallTest.java","3","112","JUnit5TestShouldBePackagePrivate: JUnit 5 tests should be package-private.","Best Practices","JUnit5TestShouldBePackagePrivate"
"197","Test","src/Test/BreakoutGameTest.java","3","1","PackageCase: Package name contains upper case characters","Code Style","PackageCase"
"198","Test","src/Test/BreakoutGameTest.java","3","11","AtLeastOneConstructor: Each class should declare at least one constructor","Code Style","AtLeastOneConstructor"
"199","Test","src/Test/BreakoutGameTest.java","3","11","JUnit5TestShouldBePackagePrivate: JUnit 5 tests should be package-private.","Best Practices","JUnit5TestShouldBePackagePrivate"
"200","Test","src/Test/BreakoutGameTest.java","3","14","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"201","Test","src/Test/BreakoutGameTest.java","3","14","JUnit5TestShouldBePackagePrivate: JUnit 5 tests should be package-private.","Best Practices","JUnit5TestShouldBePackagePrivate"
"202","Test","src/Test/BreakoutGameTest.java","3","18","DoNotUseThreads: To be compliant to J2EE, a webapp should not use any thread.","Multithreading","DoNotUseThreads"
"203","Test","src/Test/BreakoutGameTest.java","3","18","LocalVariableCouldBeFinal: Local variable 'testThread' could be declared final","Code Style","LocalVariableCouldBeFinal"
"204","Test","src/Test/BreakoutGameTest.java","3","21","LocalVariableCouldBeFinal: Local variable 'frame' could be declared final","Code Style","LocalVariableCouldBeFinal"
"205","Test","src/Test/BreakoutGameTest.java","3","22","LocalVariableCouldBeFinal: Local variable 'gamePanel' could be declared final","Code Style","LocalVariableCouldBeFinal"
"206","Test","src/Test/BreakoutGameTest.java","3","29","UnitTestAssertionsShouldIncludeMessage: Unit test assertions should include a message","Best Practices","UnitTestAssertionsShouldIncludeMessage"
"207","Test","src/Test/BrickTest.java","3","1","PackageCase: Package name contains upper case characters","Code Style","PackageCase"
"208","Test","src/Test/BrickTest.java","3","14","AtLeastOneConstructor: Each class should declare at least one constructor","Code Style","AtLeastOneConstructor"
"209","Test","src/Test/BrickTest.java","3","14","JUnit5TestShouldBePackagePrivate: JUnit 5 tests should be package-private.","Best Practices","JUnit5TestShouldBePackagePrivate"
"210","Test","src/Test/BrickTest.java","3","15","CommentRequired: Field comments are required","Documentation","CommentRequired"
"211","Test","src/Test/BrickTest.java","3","18","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
