"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"42","Game","src/Game/Brick.java","3","4","ImmutableField: Field 'width' may be declared final","Design","ImmutableField"
"43","Game","src/Game/Brick.java","3","4","ImmutableField: Field 'x' may be declared final","Design","ImmutableField"
"44","Game","src/Game/Brick.java","3","4","ImmutableField: Field 'y' may be declared final","Design","ImmutableField"
"45","Game","src/Game/Brick.java","1","4","OneDeclarationPerLine: Use one line for each declaration, it enhances code readability.","Code Style","OneDeclarationPerLine"
"46","Game","src/Game/Brick.java","3","4","ShortVariable: Avoid variables with short names like x","Code Style","ShortVariable"
"47","Game","src/Game/Brick.java","3","4","ShortVariable: Avoid variables with short names like y","Code Style","ShortVariable"
"48","Game","src/Game/Brick.java","3","5","CommentRequired: Field comments are required","Documentation","CommentRequired"
"49","Game","src/Game/Brick.java","3","5","RedundantFieldInitializer: Avoid using redundant field initializer for 'destroyed'","Performance","RedundantFieldInitializer"
"50","Game","src/Game/Brick.java","3","7","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"51","Game","src/Game/Brick.java","3","7","MethodArgumentCouldBeFinal: Parameter 'height' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"52","Game","src/Game/Brick.java","3","7","MethodArgumentCouldBeFinal: Parameter 'width' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"53","Game","src/Game/Brick.java","3","7","MethodArgumentCouldBeFinal: Parameter 'x' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"54","Game","src/Game/Brick.java","3","7","MethodArgumentCouldBeFinal: Parameter 'y' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"55","Game","src/Game/Brick.java","3","7","ShortVariable: Avoid variables with short names like x","Code Style","ShortVariable"
"56","Game","src/Game/Brick.java","3","7","ShortVariable: Avoid variables with short names like y","Code Style","ShortVariable"
"57","Game","src/Game/Brick.java","3","14","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"58","Game","src/Game/GamePanel.java","3","1","PackageCase: Package name contains upper case characters","Code Style","PackageCase"
"59","Game","src/Game/GamePanel.java","3","12","CommentRequired: Class comments are required","Documentation","CommentRequired"
"60","Game","src/Game/GamePanel.java","3","12","MissingSerialVersionUID: Classes implementing Serializable should set a serialVersionUID","Error Prone","MissingSerialVersionUID"
"61","Game","src/Game/GamePanel.java","3","13","CommentRequired: Field comments are required","Documentation","CommentRequired"
"62","Game","src/Game/GamePanel.java","3","14","CommentRequired: Field comments are required","Documentation","CommentRequired"
"63","Game","src/Game/GamePanel.java","3","15","CommentRequired: Field comments are required","Documentation","CommentRequired"
"64","Game","src/Game/GamePanel.java","3","17","CommentRequired: Field comments are required","Documentation","CommentRequired"
"65","Game","src/Game/GamePanel.java","3","17","ImmutableField: Field 'timer' may be declared final","Design","ImmutableField"
"66","Game","src/Game/GamePanel.java","3","18","CommentRequired: Field comments are required","Documentation","CommentRequired"
"67","Game","src/Game/GamePanel.java","3","18","ImmutableField: Field 'paddle' may be declared final","Design","ImmutableField"
"68","Game","src/Game/GamePanel.java","3","18","NonSerializableClass: The field 'paddle' of serializable class 'Game.GamePanel' is of non-serializable type 'Game.Paddle'.","Error Prone","NonSerializableClass"
"69","Game","src/Game/GamePanel.java","3","19","CommentRequired: Field comments are required","Documentation","CommentRequired"
"70","Game","src/Game/GamePanel.java","3","19","ImmutableField: Field 'ball' may be declared final","Design","ImmutableField"
"71","Game","src/Game/GamePanel.java","3","19","NonSerializableClass: The field 'ball' of serializable class 'Game.GamePanel' is of non-serializable type 'Game.Ball'.","Error Prone","NonSerializableClass"
"72","Game","src/Game/GamePanel.java","3","20","CommentRequired: Field comments are required","Documentation","CommentRequired"
"73","Game","src/Game/GamePanel.java","3","20","ImmutableField: Field 'bricks' may be declared final","Design","ImmutableField"
"74","Game","src/Game/GamePanel.java","3","21","CommentRequired: Field comments are required","Documentation","CommentRequired"
"75","Game","src/Game/GamePanel.java","3","21","RedundantFieldInitializer: Avoid using redundant field initializer for 'gameOver'","Performance","RedundantFieldInitializer"
"76","Game","src/Game/GamePanel.java","3","22","CommentRequired: Field comments are required","Documentation","CommentRequired"
"77","Game","src/Game/GamePanel.java","3","22","RedundantFieldInitializer: Avoid using redundant field initializer for 'victory'","Performance","RedundantFieldInitializer"
"78","Game","src/Game/GamePanel.java","3","23","CommentRequired: Field comments are required","Documentation","CommentRequired"
"79","Game","src/Game/GamePanel.java","3","23","RedundantFieldInitializer: Avoid using redundant field initializer for 'bricksDestroyed'","Performance","RedundantFieldInitializer"
"80","Game","src/Game/GamePanel.java","3","24","CommentRequired: Field comments are required","Documentation","CommentRequired"
"81","Game","src/Game/GamePanel.java","3","25","CommentRequired: Field comments are required","Documentation","CommentRequired"
"82","Game","src/Game/GamePanel.java","3","26","CommentRequired: Field comments are required","Documentation","CommentRequired"
"83","Game","src/Game/GamePanel.java","3","27","CommentRequired: Field comments are required","Documentation","CommentRequired"
"84","Game","src/Game/GamePanel.java","3","28","CommentRequired: Field comments are required","Documentation","CommentRequired"
"85","Game","src/Game/GamePanel.java","3","30","CallSuperInConstructor: It is a good practice to call super() in a constructor","Code Style","CallSuperInConstructor"
"86","Game","src/Game/GamePanel.java","3","30","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"87","Game","src/Game/GamePanel.java","1","31","ConstructorCallsOverridableMethod: Overridable method called during object construction: JComponent.setBackground(Color) ","Error Prone","ConstructorCallsOverridableMethod"
"88","Game","src/Game/GamePanel.java","1","32","ConstructorCallsOverridableMethod: Overridable method called during object construction: Component.setFocusable(boolean) ","Error Prone","ConstructorCallsOverridableMethod"
"89","Game","src/Game/GamePanel.java","1","33","ConstructorCallsOverridableMethod: Overridable method called during object construction: Component.addKeyListener(KeyListener) ","Error Prone","ConstructorCallsOverridableMethod"
"90","Game","src/Game/GamePanel.java","3","35","MethodArgumentCouldBeFinal: Parameter 'e' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"91","Game","src/Game/GamePanel.java","3","35","ShortVariable: Avoid variables with short names like e","Code Style","ShortVariable"
"92","Game","src/Game/GamePanel.java","3","57","LocalVariableCouldBeFinal: Local variable 'x' could be declared final","Code Style","LocalVariableCouldBeFinal"
"93","Game","src/Game/GamePanel.java","3","57","ShortVariable: Avoid variables with short names like x","Code Style","ShortVariable"
"94","Game","src/Game/GamePanel.java","3","58","LocalVariableCouldBeFinal: Local variable 'y' could be declared final","Code Style","LocalVariableCouldBeFinal"
"95","Game","src/Game/GamePanel.java","3","58","ShortVariable: Avoid variables with short names like y","Code Style","ShortVariable"
"96","Game","src/Game/GamePanel.java","2","59","AssignmentInOperand: Avoid assignment to index in operand","Code Style","AssignmentInOperand"
"97","Game","src/Game/GamePanel.java","3","65","ShortVariable: Avoid variables with short names like e","Code Style","ShortVariable"
"98","Game","src/Game/GamePanel.java","3","73","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"99","Game","src/Game/GamePanel.java","3","73","CyclomaticComplexity: The method 'checkCollisions()' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"100","Game","src/Game/GamePanel.java","3","93","LocalVariableCouldBeFinal: Local variable 'brick' could be declared final","Code Style","LocalVariableCouldBeFinal"
"101","Game","src/Game/GamePanel.java","3","108","MethodArgumentCouldBeFinal: Parameter 'g' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"102","Game","src/Game/GamePanel.java","3","108","ShortVariable: Avoid variables with short names like g","Code Style","ShortVariable"
"103","Game","src/Game/GamePanel.java","3","121","LocalVariableCouldBeFinal: Local variable 'brick' could be declared final","Code Style","LocalVariableCouldBeFinal"
"104","Game","src/Game/Paddle.java","3","1","PackageCase: Package name contains upper case characters","Code Style","PackageCase"
"105","Game","src/Game/Paddle.java","3","5","CommentRequired: Class comments are required","Documentation","CommentRequired"
"106","Game","src/Game/Paddle.java","3","5","DataClass: The class 'Paddle' is suspected to be a Data Class (WOC=20.000%, NOPA=0, NOAM=4, WMC=10)","Design","DataClass"
"107","Game","src/Game/Paddle.java","3","6","CommentRequired: Field comments are required","Documentation","CommentRequired"
"108","Game","src/Game/Paddle.java","3","6","ImmutableField: Field 'height' may be declared final","Design","ImmutableField"
"109","Game","src/Game/Paddle.java","3","6","ImmutableField: Field 'width' may be declared final","Design","ImmutableField"
"110","Game","src/Game/Paddle.java","3","6","ImmutableField: Field 'y' may be declared final","Design","ImmutableField"
"111","Game","src/Game/Paddle.java","1","6","OneDeclarationPerLine: Use one line for each declaration, it enhances code readability.","Code Style","OneDeclarationPerLine"
"112","Game","src/Game/Paddle.java","3","6","ShortVariable: Avoid variables with short names like x","Code Style","ShortVariable"
"113","Game","src/Game/Paddle.java","3","6","ShortVariable: Avoid variables with short names like y","Code Style","ShortVariable"
"114","Game","src/Game/Paddle.java","3","7","CommentRequired: Field comments are required","Documentation","CommentRequired"
"115","Game","src/Game/Paddle.java","3","8","CommentRequired: Field comments are required","Documentation","CommentRequired"
"116","Game","src/Game/Paddle.java","3","10","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"117","Game","src/Game/Paddle.java","3","10","MethodArgumentCouldBeFinal: Parameter 'height' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"118","Game","src/Game/Paddle.java","3","10","MethodArgumentCouldBeFinal: Parameter 'width' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"119","Game","src/Game/Paddle.java","3","10","MethodArgumentCouldBeFinal: Parameter 'x' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"120","Game","src/Game/Paddle.java","3","10","MethodArgumentCouldBeFinal: Parameter 'y' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"121","Game","src/Game/Paddle.java","3","10","ShortVariable: Avoid variables with short names like x","Code Style","ShortVariable"
"122","Game","src/Game/Paddle.java","3","10","ShortVariable: Avoid variables with short names like y","Code Style","ShortVariable"
"123","Game","src/Game/Paddle.java","3","17","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"124","Game","src/Game/Paddle.java","3","17","MethodArgumentCouldBeFinal: Parameter 'keyCode' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"125","TestRound3","src/TestRound3/BallTest.java","3","1","PackageCase: Package name contains upper case characters","Code Style","PackageCase"
"126","TestRound3","src/TestRound3/BallTest.java","3","7","AtLeastOneConstructor: Each class should declare at least one constructor","Code Style","AtLeastOneConstructor"
"127","TestRound3","src/TestRound3/BallTest.java","3","7","CommentRequired: Class comments are required","Documentation","CommentRequired"
"128","TestRound3","src/TestRound3/BallTest.java","3","7","JUnit5TestShouldBePackagePrivate: JUnit 5 tests should be package-private.","Best Practices","JUnit5TestShouldBePackagePrivate"
"129","TestRound3","src/TestRound3/BallTest.java","3","9","CommentSize: Comment is too large: Line too long","Documentation","CommentSize"
"130","TestRound3","src/TestRound3/BallTest.java","3","10","UnitTestContainsTooManyAsserts: Unit tests should not contain more than 1 assert(s).","Best Practices","UnitTestContainsTooManyAsserts"
"131","TestRound3","src/TestRound3/BallTest.java","3","11","LocalVariableCouldBeFinal: Local variable 'ball' could be declared final","Code Style","LocalVariableCouldBeFinal"
"132","TestRound3","src/TestRound3/BallTest.java","3","12","UnitTestAssertionsShouldIncludeMessage: Unit test assertions should include a message","Best Practices","UnitTestAssertionsShouldIncludeMessage"
"133","TestRound3","src/TestRound3/BallTest.java","3","13","UnitTestAssertionsShouldIncludeMessage: Unit test assertions should include a message","Best Practices","UnitTestAssertionsShouldIncludeMessage"
"134","TestRound3","src/TestRound3/BallTest.java","3","14","UnitTestAssertionsShouldIncludeMessage: Unit test assertions should include a message","Best Practices","UnitTestAssertionsShouldIncludeMessage"
"135","TestRound3","src/TestRound3/BallTest.java","3","15","UnitTestAssertionsShouldIncludeMessage: Unit test assertions should include a message","Best Practices","UnitTestAssertionsShouldIncludeMessage"
"136","TestRound3","src/TestRound3/BallTest.java","3","20","UnitTestContainsTooManyAsserts: Unit tests should not contain more than 1 assert(s).","Best Practices","UnitTestContainsTooManyAsserts"
"137","TestRound3","src/TestRound3/BallTest.java","3","21","LocalVariableCouldBeFinal: Local variable 'ball' could be declared final","Code Style","LocalVariableCouldBeFinal"
"138","TestRound3","src/TestRound3/BallTest.java","3","23","UnitTestAssertionsShouldIncludeMessage: Unit test assertions should include a message","Best Practices","UnitTestAssertionsShouldIncludeMessage"
"139","TestRound3","src/TestRound3/BallTest.java","3","24","UnitTestAssertionsShouldIncludeMessage: Unit test assertions should include a message","Best Practices","UnitTestAssertionsShouldIncludeMessage"
"140","TestRound3","src/TestRound3/BallTest.java","3","30","LocalVariableCouldBeFinal: Local variable 'ball' could be declared final","Code Style","LocalVariableCouldBeFinal"
"141","TestRound3","src/TestRound3/BallTest.java","3","33","UnitTestAssertionsShouldIncludeMessage: Unit test assertions should include a message","Best Practices","UnitTestAssertionsShouldIncludeMessage"
"142","TestRound3","src/TestRound3/BallTest.java","3","39","LocalVariableCouldBeFinal: Local variable 'ball' could be declared final","Code Style","LocalVariableCouldBeFinal"
"143","TestRound3","src/TestRound3/BallTest.java","3","42","UnitTestAssertionsShouldIncludeMessage: Unit test assertions should include a message","Best Practices","UnitTestAssertionsShouldIncludeMessage"
"144","TestRound3","src/TestRound3/BallTest.java","3","46","CommentSize: Comment is too large: Line too long","Documentation","CommentSize"
"145","TestRound3","src/TestRound3/BallTest.java","3","47","UnitTestContainsTooManyAsserts: Unit tests should not contain more than 1 assert(s).","Best Practices","UnitTestContainsTooManyAsserts"
"146","TestRound3","src/TestRound3/BallTest.java","3","48","LocalVariableCouldBeFinal: Local variable 'ball' could be declared final","Code Style","LocalVariableCouldBeFinal"
"147","TestRound3","src/TestRound3/BallTest.java","3","49","UnitTestAssertionsShouldIncludeMessage: Unit test assertions should include a message","Best Practices","UnitTestAssertionsShouldIncludeMessage"
"148","TestRound3","src/TestRound3/BallTest.java","3","50","UnitTestAssertionsShouldIncludeMessage: Unit test assertions should include a message","Best Practices","UnitTestAssertionsShouldIncludeMessage"
"149","TestRound3","src/TestRound3/BallTest.java","3","51","UnitTestAssertionsShouldIncludeMessage: Unit test assertions should include a message","Best Practices","UnitTestAssertionsShouldIncludeMessage"
"150","TestRound3","src/TestRound3/BreakoutTest.java","3","1","PackageCase: Package name contains upper case characters","Code Style","PackageCase"
"151","TestRound3","src/TestRound3/BreakoutTest.java","4","4","UnnecessaryImport: Unused import 'Game.GamePanel'","Code Style","UnnecessaryImport"
"152","TestRound3","src/TestRound3/BreakoutTest.java","4","6","UnnecessaryImport: Unused import 'javax.swing.JFrame'","Code Style","UnnecessaryImport"
"153","TestRound3","src/TestRound3/BreakoutTest.java","3","10","AtLeastOneConstructor: Each class should declare at least one constructor","Code Style","AtLeastOneConstructor"
"154","TestRound3","src/TestRound3/BreakoutTest.java","3","10","CommentRequired: Class comments are required","Documentation","CommentRequired"
"155","TestRound3","src/TestRound3/BreakoutTest.java","3","10","JUnit5TestShouldBePackagePrivate: JUnit 5 tests should be package-private.","Best Practices","JUnit5TestShouldBePackagePrivate"
"156","TestRound3","src/TestRound3/BreakoutTest.java","3","12","CommentSize: Comment is too large: Line too long","Documentation","CommentSize"
"157","TestRound3","src/TestRound3/BreakoutTest.java","3","15","LocalVariableCouldBeFinal: Local variable 'mainMethod' could be declared final","Code Style","LocalVariableCouldBeFinal"
"158","TestRound3","src/TestRound3/BreakoutTest.java","3","17","CommentSize: Comment is too large: Line too long","Documentation","CommentSize"
"159","TestRound3","src/TestRound3/BreakoutTest.java","3","18","UnitTestAssertionsShouldIncludeMessage: Unit test assertions should include a message","Best Practices","UnitTestAssertionsShouldIncludeMessage"
"160","TestRound3","src/TestRound3/BreakoutTest.java","3","18","UnnecessaryBooleanAssertion: assertTrue(true) or similar statements are unnecessary","Error Prone","UnnecessaryBooleanAssertion"
"161","TestRound3","src/TestRound3/BrickTest.java","3","1","PackageCase: Package name contains upper case characters","Code Style","PackageCase"
"162","TestRound3","src/TestRound3/BrickTest.java","3","7","AtLeastOneConstructor: Each class should declare at least one constructor","Code Style","AtLeastOneConstructor"
"163","TestRound3","src/TestRound3/BrickTest.java","3","7","CommentRequired: Class comments are required","Documentation","CommentRequired"
"164","TestRound3","src/TestRound3/BrickTest.java","3","7","JUnit5TestShouldBePackagePrivate: JUnit 5 tests should be package-private.","Best Practices","JUnit5TestShouldBePackagePrivate"
"165","TestRound3","src/TestRound3/BrickTest.java","3","9","CommentSize: Comment is too large: Line too long","Documentation","CommentSize"
"166","TestRound3","src/TestRound3/BrickTest.java","3","10","UnitTestContainsTooManyAsserts: Unit tests should not contain more than 1 assert(s).","Best Practices","UnitTestContainsTooManyAsserts"
"167","TestRound3","src/TestRound3/BrickTest.java","3","11","LocalVariableCouldBeFinal: Local variable 'brick' could be declared final","Code Style","LocalVariableCouldBeFinal"
"168","TestRound3","src/TestRound3/BrickTest.java","3","12","UnitTestAssertionsShouldIncludeMessage: Unit test assertions should include a message","Best Practices","UnitTestAssertionsShouldIncludeMessage"
"169","TestRound3","src/TestRound3/BrickTest.java","3","13","UnitTestAssertionsShouldIncludeMessage: Unit test assertions should include a message","Best Practices","UnitTestAssertionsShouldIncludeMessage"
"170","TestRound3","src/TestRound3/BrickTest.java","3","14","UnitTestAssertionsShouldIncludeMessage: Unit test assertions should include a message","Best Practices","UnitTestAssertionsShouldIncludeMessage"
"171","TestRound3","src/TestRound3/BrickTest.java","3","15","UnitTestAssertionsShouldIncludeMessage: Unit test assertions should include a message","Best Practices","UnitTestAssertionsShouldIncludeMessage"
"172","TestRound3","src/TestRound3/BrickTest.java","3","16","UnitTestAssertionsShouldIncludeMessage: Unit test assertions should include a message","Best Practices","UnitTestAssertionsShouldIncludeMessage"
"173","TestRound3","src/TestRound3/BrickTest.java","3","20","CommentSize: Comment is too large: Line too long","Documentation","CommentSize"
"174","TestRound3","src/TestRound3/BrickTest.java","3","21","UnitTestContainsTooManyAsserts: Unit tests should not contain more than 1 assert(s).","Best Practices","UnitTestContainsTooManyAsserts"
"175","TestRound3","src/TestRound3/BrickTest.java","3","22","LocalVariableCouldBeFinal: Local variable 'brick' could be declared final","Code Style","LocalVariableCouldBeFinal"
"176","TestRound3","src/TestRound3/BrickTest.java","3","23","UnitTestAssertionsShouldIncludeMessage: Unit test assertions should include a message","Best Practices","UnitTestAssertionsShouldIncludeMessage"
"177","TestRound3","src/TestRound3/BrickTest.java","3","25","UnitTestAssertionsShouldIncludeMessage: Unit test assertions should include a message","Best Practices","UnitTestAssertionsShouldIncludeMessage"
"178","TestRound3","src/TestRound3/GamePanelTest.java","3","1","PackageCase: Package name contains upper case characters","Code Style","PackageCase"
"179","TestRound3","src/TestRound3/GamePanelTest.java","3","18","AtLeastOneConstructor: Each class should declare at least one constructor","Code Style","AtLeastOneConstructor"
"180","TestRound3","src/TestRound3/GamePanelTest.java","3","18","CommentRequired: Class comments are required","Documentation","CommentRequired"
"181","TestRound3","src/TestRound3/GamePanelTest.java","3","18","JUnit5TestShouldBePackagePrivate: JUnit 5 tests should be package-private.","Best Practices","JUnit5TestShouldBePackagePrivate"
"182","TestRound3","src/TestRound3/GamePanelTest.java","3","19","CommentRequired: Field comments are required","Documentation","CommentRequired"
"183","TestRound3","src/TestRound3/GamePanelTest.java","3","27","CommentSize: Comment is too large: Line too long","Documentation","CommentSize"
"184","TestRound3","src/TestRound3/GamePanelTest.java","3","28","UnitTestContainsTooManyAsserts: Unit tests should not contain more than 1 assert(s).","Best Practices","UnitTestContainsTooManyAsserts"
"185","TestRound3","src/TestRound3/GamePanelTest.java","3","29","LocalVariableCouldBeFinal: Local variable 'bricks' could be declared final","Code Style","LocalVariableCouldBeFinal"
"186","TestRound3","src/TestRound3/GamePanelTest.java","3","30","UnitTestAssertionsShouldIncludeMessage: Unit test assertions should include a message","Best Practices","UnitTestAssertionsShouldIncludeMessage"
"187","TestRound3","src/TestRound3/GamePanelTest.java","3","31","AvoidDuplicateLiterals: The String literal 'gameOver' appears 6 times in this file; the first occurrence is on line 31","Error Prone","AvoidDuplicateLiterals"
"188","TestRound3","src/TestRound3/GamePanelTest.java","3","31","UnitTestAssertionsShouldIncludeMessage: Unit test assertions should include a message","Best Practices","UnitTestAssertionsShouldIncludeMessage"
"189","TestRound3","src/TestRound3/GamePanelTest.java","3","32","UnitTestAssertionsShouldIncludeMessage: Unit test assertions should include a message","Best Practices","UnitTestAssertionsShouldIncludeMessage"
"190","TestRound3","src/TestRound3/GamePanelTest.java","3","33","UnitTestAssertionsShouldIncludeMessage: Unit test assertions should include a message","Best Practices","UnitTestAssertionsShouldIncludeMessage"
"191","TestRound3","src/TestRound3/GamePanelTest.java","3","37","CommentSize: Comment is too large: Line too long","Documentation","CommentSize"
"192","TestRound3","src/TestRound3/GamePanelTest.java","3","38","UnitTestContainsTooManyAsserts: Unit tests should not contain more than 1 assert(s).","Best Practices","UnitTestContainsTooManyAsserts"
"193","TestRound3","src/TestRound3/GamePanelTest.java","3","39","LocalVariableCouldBeFinal: Local variable 'e' could be declared final","Code Style","LocalVariableCouldBeFinal"
"194","TestRound3","src/TestRound3/GamePanelTest.java","3","39","ShortVariable: Avoid variables with short names like e","Code Style","ShortVariable"
"195","TestRound3","src/TestRound3/GamePanelTest.java","3","40","AvoidDuplicateLiterals: The String literal 'ball' appears 11 times in this file; the first occurrence is on line 40","Error Prone","AvoidDuplicateLiterals"
"196","TestRound3","src/TestRound3/GamePanelTest.java","3","40","LocalVariableCouldBeFinal: Local variable 'ball' could be declared final","Code Style","LocalVariableCouldBeFinal"
"197","TestRound3","src/TestRound3/GamePanelTest.java","3","48","UnitTestAssertionsShouldIncludeMessage: Unit test assertions should include a message","Best Practices","UnitTestAssertionsShouldIncludeMessage"
"198","TestRound3","src/TestRound3/GamePanelTest.java","3","53","UnitTestContainsTooManyAsserts: Unit tests should not contain more than 1 assert(s).","Best Practices","UnitTestContainsTooManyAsserts"
"199","TestRound3","src/TestRound3/GamePanelTest.java","3","57","UnitTestAssertionsShouldIncludeMessage: Unit test assertions should include a message","Best Practices","UnitTestAssertionsShouldIncludeMessage"
"200","TestRound3","src/TestRound3/GamePanelTest.java","3","58","UnitTestAssertionsShouldIncludeMessage: Unit test assertions should include a message","Best Practices","UnitTestAssertionsShouldIncludeMessage"
"201","TestRound3","src/TestRound3/GamePanelTest.java","3","63","UnitTestAssertionsShouldIncludeMessage: Unit test assertions should include a message","Best Practices","UnitTestAssertionsShouldIncludeMessage"
"202","TestRound3","src/TestRound3/GamePanelTest.java","3","68","UnitTestContainsTooManyAsserts: Unit tests should not contain more than 1 assert(s).","Best Practices","UnitTestContainsTooManyAsserts"
